user_id,item_id,rating
39,33,2
29,53,2
15,22,1
43,21,2
8,70,1
21,70,4
39,4,3
19,75,1
23,62,4
11,62,1
11,24,1
24,55,3
36,9,5
40,3,5
24,31,1
3,40,2
22,36,4
2,24,2
24,6,2
44,66,1
30,75,1
38,4,1
2,79,1
21,6,5
33,51,1
12,62,5
22,57,5
44,66,1
25,79,3
49,75,4
27,8,2
42,26,5
28,51,4
16,45,3
15,44,2
47,5,2
44,70,5
3,26,1
37,68,3
7,19,5
21,20,3
9,12,1
39,47,1
18,1,5
4,14,1
25,64,4
14,38,2
50,37,5
9,11,3
26,77,4
2,3,5
20,33,1
28,6,1
47,50,1
7,10,1
44,5,3
8,23,4
47,10,2
35,44,3
14,2,3
17,13,2
36,40,2
50,2,1
40,65,3
4,63,5
2,73,2
6,17,2
42,9,4
4,75,5
29,15,5
18,24,2
26,38,1
44,35,4
34,49,5
10,69,2
36,62,5
14,60,4
31,50,4
48,78,3
15,75,2
8,9,4
14,34,3
23,76,3
40,35,5
21,1,5
16,40,3
45,64,5
18,22,4
47,60,1
24,64,4
26,72,3
25,11,3
45,14,4
41,60,5
29,30,5
15,35,3
45,37,2
1,5,5
25,78,4
7,26,5
9,62,4
24,4,3
1,42,5
44,18,4
8,40,3
24,72,2
11,39,4
17,14,2
8,32,2
35,51,1
35,38,5
33,23,4
5,63,2
42,15,1
39,25,3
41,17,4
28,66,2
7,78,5
9,53,1
8,51,2
12,39,5
34,51,2
33,70,4
48,6,4
23,67,4
24,7,1
37,51,4
35,72,5
44,42,2
40,64,3
22,15,5
27,29,5
35,33,4
1,27,1
35,36,2
37,29,1
47,38,2
14,57,2
3,27,1
1,55,5
5,33,2
26,68,1
14,66,2
39,10,3
27,5,5
9,74,4
15,38,2
15,13,3
26,31,4
42,47,4
13,52,2
32,56,1
39,15,2
49,29,3
32,8,4
4,5,2
30,29,1
37,47,2
23,68,5
39,76,1
45,45,3
15,2,4
43,27,2
29,36,1
36,36,5
13,26,1
32,43,5
7,27,3
22,69,4
28,20,3
2,11,2
42,74,1
45,38,5
6,6,5
28,72,1
28,23,1
44,47,2
44,46,3
20,12,5
30,13,2
11,62,3
28,60,2
25,43,5
39,76,1
33,68,1
1,5,3
27,37,4
13,72,3
41,31,4
3,9,2
39,51,2
6,29,5
8,78,4
27,40,5
9,41,1
37,11,4
33,23,3
42,1,1
44,46,1
24,21,3
15,36,1
32,54,4
32,57,5
24,1,1
41,63,4
49,54,2
49,55,4
12,40,5
39,15,4
2,21,3
3,47,5
49,73,2
37,53,3
49,9,4
17,74,5
49,52,2
2,57,3
2,26,2
28,41,4
23,35,2
37,63,1
32,25,3
33,75,2
1,38,4
19,2,4
2,7,2
44,34,4
26,17,5
32,43,5
6,59,5
32,51,1
4,54,2
11,24,1
17,25,4
38,71,1
24,52,4
5,70,4
34,33,3
6,49,5
22,29,4
11,63,3
48,22,5
16,26,4
33,28,4
9,49,1
6,71,1
16,49,5
29,20,4
3,63,2
20,61,1
36,49,5
19,71,4
26,1,4
3,13,2
19,51,5
20,56,4
32,62,1
7,32,2
41,30,5
33,29,2
40,49,1
39,45,5
18,30,2
40,16,3
1,40,1
11,19,1
28,18,1
25,1,3
50,78,3
23,47,4
31,66,2
30,38,4
42,51,2
35,63,3
7,4,3
16,1,4
26,8,5
48,29,4
49,55,2
2,3,4
1,32,1
48,10,2
12,74,2
5,34,5
37,55,3
32,32,2
9,50,3
41,7,4
35,8,1
19,65,5
48,57,3
16,67,2
3,59,3
20,72,2
24,54,3
33,67,2
24,51,4
11,8,2
49,34,2
8,35,1
36,78,2
38,32,1
40,46,5
20,16,1
35,68,4
48,37,1
25,54,5
35,14,4
25,55,3
29,48,3
18,7,1
46,74,1
18,7,5
2,33,5
35,23,2
16,19,5
41,19,2
36,36,4
33,29,1
4,60,4
33,2,5
14,1,4
21,47,4
48,69,4
20,20,5
8,11,4
7,2,2
3,67,5
17,12,4
33,20,5
48,5,3
12,37,2
22,38,4
22,9,3
46,53,3
30,44,5
38,24,3
38,74,2
45,30,2
8,59,1
27,14,2
27,9,3
34,40,2
21,66,5
30,25,1
33,73,3
28,22,1
47,4,3
33,26,5
5,58,1
48,29,4
19,37,3
4,75,4
35,70,1
49,18,4
17,42,4
44,41,1
28,38,5
30,34,4
29,17,4
46,37,5
6,25,4
35,76,4
41,27,4
37,57,2
24,31,5
29,6,4
49,40,5
46,12,3
31,53,3
35,71,4
33,10,5
21,45,5
32,17,5
23,26,2
33,62,3
3,46,5
18,64,5
25,2,2
42,54,2
31,65,5
3,51,1
40,53,5
46,36,5
24,26,2
50,29,2
32,21,5
47,11,5
22,40,5
23,11,2
2,36,5
27,59,5
42,39,4
2,54,1
26,55,3
17,24,1
40,22,4
33,69,3
9,56,5
43,33,4
48,36,5
39,20,2
29,62,4
42,73,2
26,26,4
35,66,4
50,73,2
25,73,3
24,40,1
13,17,5
7,1,4
36,61,5
45,43,2
20,42,5
1,25,2
8,39,5
46,35,1
16,3,1
14,44,1
12,51,1
23,12,1
15,19,1
28,44,2
34,59,4
2,49,5
32,61,1
23,17,2
22,74,2
25,57,2
22,55,4
22,47,5
49,12,4
42,62,3
6,80,2
15,8,3
43,21,1
37,80,1
33,70,4
8,72,5
44,25,3
44,12,5
5,15,4
39,59,1
4,26,5
6,26,5
45,47,1
32,32,3
30,10,1
47,16,5
35,71,3
40,17,3
16,23,1
13,26,5
50,7,4
42,14,5
30,79,2
19,7,4
17,9,3
19,48,4
28,72,3
26,59,3
37,39,4
26,18,3
23,59,3
9,17,2
12,14,5
1,31,5
1,24,2
47,60,4
34,45,1
32,3,1
48,37,1
25,43,2
40,40,2
45,55,3
1,39,1
16,15,4
39,4,4
5,25,1
22,13,1
29,33,1
3,16,2
12,42,2
26,66,2
16,55,5
37,42,4
22,34,4
29,30,3
14,13,2
28,13,5
5,18,5
47,32,4
49,39,2
30,46,3
46,29,2
5,62,1
12,62,2
16,57,1
26,16,1
26,56,3
48,10,4
21,30,2
39,25,1
36,5,2
33,65,4
30,49,4
37,3,5
23,45,4
10,14,3
5,30,1
36,68,5
34,18,3
31,62,2
10,37,1
19,25,4
32,48,1
1,65,2
5,53,5
45,79,5
4,73,5
16,15,4
24,49,3
16,68,3
2,12,1
49,59,4
28,37,5
32,61,5
27,43,2
20,70,2
24,39,5
12,56,5
50,63,4
35,46,3
33,11,2
33,62,3
43,77,4
37,25,5
12,71,3
3,52,5
1,4,5
33,59,1
40,72,3
10,20,3
43,63,5
44,54,4
29,74,1
13,57,5
12,41,2
31,3,2
46,6,1
2,5,4
50,5,5
35,54,3
23,47,1
17,49,4
26,9,3
8,20,2
29,61,2
26,35,3
10,50,1
26,62,2
34,17,5
41,3,3
7,32,3
4,13,2
50,73,1
45,68,5
11,14,1
29,11,4
36,56,4
25,67,2
21,29,2
36,9,2
10,67,4
37,25,1
9,76,1
24,42,2
35,9,5
49,79,1
35,40,4
48,25,3
36,5,3
18,11,3
49,59,5
39,79,2
32,38,4
24,72,5
23,5,4
32,48,4
37,18,2
12,70,3
49,37,2
13,60,5
23,48,5
25,77,5
35,28,2
41,69,4
30,77,4
17,40,1
49,45,5
20,62,4
48,58,1
25,67,4
22,56,5
13,40,3
19,40,5
49,77,2
36,33,4
12,6,4
41,19,2
19,80,2
12,40,3
9,59,4
7,59,4
28,48,3
14,41,1
31,13,3
19,45,5
47,53,4
16,42,2
5,63,5
35,27,4
12,38,3
25,60,5
21,7,4
36,5,1
23,45,1
16,58,2
39,31,4
45,23,1
42,42,3
39,10,4
14,32,3
31,53,3
5,30,1
35,39,4
23,31,5
29,2,1
43,78,1
11,77,4
18,12,4
47,39,3
12,66,4
9,13,3
10,46,1
44,27,2
17,17,5
38,60,1
7,64,4
46,35,5
13,70,2
40,30,2
42,71,3
9,74,5
50,63,3
27,28,1
2,60,5
5,79,1
29,37,3
37,22,5
38,68,3
19,20,5
8,68,3
48,64,2
45,17,3
1,12,2
22,22,3
17,17,5
7,10,5
25,65,5
45,22,4
4,50,1
36,14,5
6,64,2
31,47,5
19,29,4
44,76,2
39,36,4
27,52,2
10,76,3
26,7,1
19,29,1
39,11,4
3,33,1
45,6,4
13,79,4
50,32,4
28,51,1
20,75,4
28,58,1
8,26,4
41,46,5
39,29,4
1,4,2
3,13,4
13,39,3
28,15,4
49,29,2
25,29,2
33,75,1
38,32,5
6,2,4
44,47,1
45,78,5
32,22,4
45,75,3
47,27,4
21,67,2
16,56,2
21,21,3
11,47,1
37,80,5
36,59,4
35,6,2
19,19,1
20,57,3
18,69,2
47,3,3
41,1,4
49,58,5
14,38,2
15,15,2
31,34,4
1,61,1
3,35,5
16,64,2
23,25,5
11,24,2
12,12,5
10,18,3
32,15,2
16,80,5
8,27,1
38,72,3
12,60,3
24,46,1
28,17,5
8,53,4
28,8,1
36,79,5
26,27,1
8,46,1
50,50,2
28,71,5
28,3,4
37,64,2
41,44,1
36,53,1
27,24,1
17,60,5
9,3,5
33,20,2
20,46,4
13,15,2
28,25,3
48,78,1
29,71,1
13,17,1
46,9,2
35,38,2
6,48,1
18,60,2
5,63,5
47,2,5
25,72,2
2,11,1
10,64,2
30,77,2
50,72,2
45,21,3
5,18,5
33,64,4
1,38,4
18,32,3
32,11,2
47,45,3
49,33,3
11,41,1
21,8,5
26,11,4
25,51,2
22,41,4
27,17,4
49,76,5
13,46,4
33,32,4
34,79,3
41,80,5
35,54,1
1,20,2
21,33,4
48,74,2
6,40,1
28,32,2
17,2,1
5,33,3
31,77,4
5,30,1
38,33,2
3,77,4
23,26,3
37,22,4
37,66,1
10,38,3
10,46,2
19,15,3
17,44,3
21,49,5
14,75,3
9,61,3
46,67,4
1,6,2
45,9,4
13,6,4
4,73,1
1,32,4
49,41,5
40,76,5
32,8,1
34,72,2
28,50,2
31,62,4
8,62,4
39,7,4
26,75,2
34,80,3
3,4,5
50,6,3
12,58,3
1,22,2
44,26,3
5,3,1
30,41,4
30,60,1
17,14,5
48,75,4
47,12,3
23,12,5
15,13,4
37,25,3
21,45,1
14,19,4
2,55,3
11,45,1
39,8,5
38,53,5
34,55,5
38,32,5
50,51,2
34,44,4
18,70,4
30,18,2
15,22,3
27,37,3
34,56,5
38,59,1
33,3,3
24,28,1
15,74,4
30,35,1
42,61,4
17,54,2
5,63,2
29,79,5
4,7,3
10,76,5
17,49,4
10,31,5
17,58,1
20,61,4
24,24,2
5,20,3
34,37,4
6,4,4
2,20,1
13,60,3
43,24,2
43,50,4
48,49,4
11,51,1
47,36,5
23,66,2
16,79,3
31,34,4
11,36,4
16,6,2
8,39,5
4,42,4
40,58,2
4,12,1
25,3,5
3,18,3
32,40,4
3,21,2
27,15,1
29,26,3
32,8,2
50,42,2
19,44,3
21,14,1
5,78,1
18,2,5
28,37,4
42,69,3
22,38,3
21,41,3
6,62,1
1,60,4
5,14,5
41,2,2
12,70,2
26,17,3
46,28,4
34,66,1
49,35,4
14,5,4
26,65,1
45,40,3
27,76,4
9,56,2
26,36,1
47,45,5
22,23,3
47,47,1
30,31,5
43,11,5
48,10,4
17,67,4
26,14,4
36,80,1
1,74,1
8,10,3
49,76,4
35,1,5
15,5,2
47,20,3
22,8,1
14,43,3
26,76,3
28,1,3
23,57,3
14,64,2
24,28,4
2,37,5
45,47,3
26,76,3
14,37,3
7,49,4
3,44,1
47,56,1
23,28,2
46,79,1
43,6,3
47,61,3
45,20,3
18,78,2
38,2,3
35,73,1
15,37,4
25,20,4
37,26,5
28,29,1
10,1,3
39,35,4
17,70,1
39,59,4
22,69,3
26,33,4
44,51,5
25,78,5
17,12,4
13,20,1
20,53,1
25,43,1
4,50,4
10,29,1
3,57,3
41,39,5
45,56,3
18,43,1
47,50,3
36,23,1
47,44,4
22,38,3
34,23,4
47,45,4
8,52,2
40,80,1
49,50,5
44,8,1
19,1,5
42,8,1
41,29,4
37,5,3
6,47,3
26,34,2
34,65,5
45,55,5
6,43,5
37,74,4
